lactkey,Farm,Breed,CalveDate,CalveMonth,Parity,Scale,Ramp,Offset,Decay,points,RMSE,M305,PeakDay,PeakMilk,dim1,milk1,dim2,milk2,dim3,milk3,dim4,milk4,dim5,milk5,dim6,milk6,dim7,milk7,dim8,milk8,dim9,milk9,dim10,milk10
338674,C, X, 2006-07-15,7, 1, 30.5, 31.2, -0.5, 0.0007, 8, 3.3, 7933, 98.9, 27.98, 6, 11.3, 42, 28.1, 64, 25.9, 103, 30.4, 126, 31.8, 158, 25.4, 212, 28.1, 268, 23.6 ,,,,
338695,C, X, 2006-07-24,7, 1, 27.3, 31.1, -0.5, 0.0013, 8, 1.5, 6444, 78.4, 23.68, 33, 19.1, 55, 24.1, 94, 25, 117, 25, 149, 22.2, 203, 19.5, 259, 20.4, 299, 17.3 ,,,,
338697,C, X, 2006-07-15,7, 1, 35.4, 30.9, -0.5, 0.0006, 8, 1.7, 9333, 103, 32.75, 6, 17.3, 42, 30.9, 64, 31.8, 103, 35, 126, 33.1, 158, 30.9, 212, 30, 268, 31.3 ,,,,
338709,C, X, 2006-07-23,7, 1, 35, 32.4, -0.5, 0.0016, 8, 5.2, 7850, 73.7, 29.46, 34, 19.1, 56, 29.5, 95, 37.2, 118, 35.9, 150, 24.1, 204, 21.8, 260, 22.7, 300, 19.5 ,,,,
338713,C, X, 2006-07-15,7, 1, 22.7, 30.4, -0.5, 0.001, 8, 2.1, 5594, 84.6, 20.17, 6, 13.6, 42, 20, 64, 18.6, 103, 23.6, 126, 15.9, 158, 19.5, 212, 16.8, 268, 19.1 ,,,,
338721,C, X, 2006-07-23,7, 1, 39.6, 35.4, -0.5, 0.0007, 8, 5, 10189, 107.4, 35.91, 34, 25.9, 56, 29.5, 95, 35.9, 118, 26.8, 150, 32.7, 204, 31.8, 260, 37.2, 300, 38.1 ,,,,
338726,C, X, 2006-07-23,7, 1, 30.3, 29.5, -0.5, 0.002, 8, 1.3, 6531, 64.9, 25.24, 34, 26.3, 56, 25, 95, 25, 118, 21.3, 150, 22.7, 204, 19.1, 260, 18.2, 300, 17.3 ,,,,
338735,C, X, 2006-07-15,7, 1, 30, 31.1, -0.5, 0.0004, 8, 5.6, 8194, 118.1, 28.46, 6, 4.1, 42, 28.1, 64, 30, 103, 32.2, 126, 29.5, 158, 28.1, 212, 31.3, 268, 22.2 ,,,,
338743,C, X, 2006-07-06,7, 1, 33.3, 35.4, -0.5, 0.0003, 8, 3.7, 9108, 136.6, 31.66, 15, 20.9, 51, 22.2, 73, 24.1, 112, 30, 135, 32.2, 167, 33.1, 221, 30, 277, 34.5 ,,,,
338762,C, X, 2006-07-16,7, 1, 32.8, 31.6, -0.5, 0.0011, 8, 2.6, 7955, 84.3, 28.81, 5, 15.4, 41, 26.3, 63, 26.3, 102, 33.6, 125, 28.6, 157, 30, 211, 24.1, 267, 22.7 ,,,,
338783,D, X, 2007-03-18,3, 2, 50.3, 20.6, -0.8, 0.0044, 8, 4.1, 7995, 36.3, 39.35, 22, 43.6, 62, 40.9, 106, 33.1, 131, 26.8, 173, 20, 224, 24.1, 268, 8.6, 299, 13.2 ,,,,
338797,D, X, 2007-03-03,3, 2, 40.6, 22.7, -0.8, 0.0009, 7, 1.8, 10393, 72.7, 37.34, 37, 36.3, 77, 36.8, 121, 35.9, 146, 34, 188, 33.6, 239, 37.2, 283, 31.3 ,,,,,,
338802,D, X, 2007-02-24,2, 2, 42.2, 22.5, -0.8, 0.0016, 7, 2.5, 9759, 59.7, 37.1, 44, 39, 84, 33.6, 128, 31.8, 153, 34, 195, 35.4, 246, 27.7, 290, 27.2 ,,,,,,
338894,C, X, 2006-07-08,7, 1, 24.4, 31.4, -0.5, 0.0005, 8, 2.9, 6505, 108.7, 22.74, 13, 12.7, 49, 20, 71, 23.2, 110, 27.2, 133, 24.5, 165, 17.3, 219, 23.6, 275, 20.9 ,,,,
338909,D, H, 2007-02-12,2, 5, 41.6, 22.9, 0, 0.0022, 7, 2.4, 8721, 53.4, 35.1, 56, 35.4, 96, 34, 140, 32.2, 165, 23.2, 207, 27.2, 258, 22.7, 302, 23.2 ,,,,,,
338987,C, X, 2006-07-16,7, 1, 24, 31, -0.5, 0.0008, 8, 2.2, 6161, 95, 21.83, 5, 13.2, 41, 19.1, 63, 21.3, 102, 24.5, 125, 19.5, 157, 19.1, 211, 24.5, 267, 18.2 ,,,,
339001,C, X, 2006-07-15,7, 1, 33.9, 29.4, -0.5, 0.0009, 8, 3.4, 8477, 85.5, 30.41, 6, 14.5, 42, 33.1, 64, 30.4, 103, 35, 126, 28.1, 158, 25.4, 212, 28.1, 268, 26.8 ,,,,
339086,D, H, 2007-03-28,3, 2, 45.7, 19.3, -0.8, 0.0028, 8, 3.4, 8896, 42.9, 38.34, 12, 36.3, 52, 35.9, 96, 35.4, 121, 27.7, 163, 30.9, 214, 30.9, 258, 19.5, 289, 17.3 ,,,,
339097,C, X, 2006-07-22,7, 1, 39.2, 30.3, -0.5, 0.0011, 8, 2.4, 9539, 82.1, 34.6, 35, 33.1, 57, 34, 96, 31.3, 119, 36.3, 151, 31.3, 205, 30.9, 261, 33.6, 301, 25.4 ,,,,
339110,C, X, 2006-07-18,7, 1, 29.3, 30.8, -0.5, 0.0013, 8, 1.5, 6901, 78.1, 25.37, 39, 24.1, 61, 22.7, 100, 26.8, 123, 25.4, 155, 25, 209, 21.3, 265, 21.8, 305, 17.3 ,,,,
339118,C, X, 2006-07-26,7, 1, 33.3, 30.6, -0.5, 0.001, 8, 3.3, 8294, 87, 29.76, 31, 23.6, 53, 32.7, 92, 33.6, 115, 22.7, 147, 28.6, 201, 27.7, 257, 27.7, 297, 25 ,,,,
339125,C, X, 2006-07-25,7, 1, 38.7, 30, -0.5, 0.0014, 8, 1.7, 9078, 75.9, 33.5, 32, 30.9, 54, 34.5, 93, 34, 116, 30.4, 148, 29.5, 202, 29.1, 258, 30.4, 298, 24.5 ,,,,
339127,C, X, 2006-07-26,7, 1, 33.3, 31.6, -0.5, 0.0007, 8, 1.4, 8634, 99.2, 30.46, 31, 25, 53, 27.7, 92, 31.8, 115, 31.8, 147, 30.9, 201, 29.1, 257, 29.5, 297, 25 ,,,,
339129,C, X, 2006-07-16,7, 1, 39.6, 32.2, -0.5, 0.0003, 8, 2.4, 10855, 125.2, 37.67, 5, 25.4, 41, 30.9, 63, 35.4, 102, 37.7, 125, 35, 157, 42.2, 211, 38.1, 267, 35.4 ,,,,
339131,C, X, 2006-07-16,7, 1, 34.9, 30.6, -0.5, 0.0021, 8, 2, 7336, 64, 28.63, 5, 20.9, 41, 28.1, 63, 25.9, 102, 30.4, 125, 29.5, 157, 24.5, 211, 19.5, 267, 19.5 ,,,,
339135,C, X, 2006-07-26,7, 1, 21.5, 34, -0.5, -0.0002, 8, 3.8, 6340, 0, 10.89, 31, 13.6, 53, 10, 92, 22.2, 115, 23.2, 147, 21.3, 201, 24.5, 257, 24.5, 297, 21.3 ,,,,
339144,C, X, 2006-07-24,7, 1, 33.9, 29.2, -0.5, 0.0011, 8, 3.4, 8328, 81.7, 30.12, 33, 34.5, 55, 24.1, 94, 29.1, 117, 31.3, 149, 26.3, 203, 27.2, 259, 27.2, 299, 25 ,,,,
339226,D, X, 2007-02-24,2, 2, 39.1, 22.4, -0.8, 0.0021, 7, 2.5, 8324, 52.7, 33.29, 44, 34.5, 84, 32.7, 128, 30, 153, 25, 195, 21.8, 246, 24.5, 290, 24.5 ,,,,,,
339270,D, X, 2007-03-09,3, 2, 46.7, 23.3, -0.8, 0.0017, 7, 2.8, 10593, 59.3, 40.62, 31, 36.8, 71, 40, 115, 39, 140, 40, 182, 31.3, 233, 35.9, 277, 25.9 ,,,,,,
339276,D, X, 2007-02-07,2, 2, 34.3, 22.7, -0.8, 0.0007, 7, 4, 9012, 77.5, 31.96, 5, 19.1, 61, 36.3, 101, 24.5, 145, 34.5, 170, 30.4, 212, 26.3, 263, 31.8 ,,,,,,
3524842,I, H, 2006-11-10,11, 3, 63, 24, 0, 0.0013, 9, 3.2, 15058, 67.2, 55.91, 11, 41.8, 42, 56.7, 76, 54.5, 103, 51.3, 133, 52.7, 175, 50.4, 210, 52.7, 245, 49.9, 273, 38.6 ,,
