lactkey,Farm,Breed,CalveDate,Parity,monthinm,dim,milk
2239216,A, J, 2006-03-19, 1,8,,
2239216,A, J, 2006-03-19, 1,9,,
2239216,A, J, 2006-03-19, 1,10,,
2239216,A, J, 2006-03-19, 1,4, 115, 19.1
2239216,A, J, 2006-03-19, 1,1, 12, 10.4
2239216,A, J, 2006-03-19, 1,5, 149, 20
2239216,A, J, 2006-03-19, 1,6, 186, 12.7
2239216,A, J, 2006-03-19, 1,7, 262, 13.2 
2239216,A, J, 2006-03-19, 1,2, 46, 15
2239216,A, J, 2006-03-19, 1,3, 82, 14.1
2239218,A, J, 2006-03-29, 1,9,,
2239218,A, J, 2006-03-29, 1,10,,
2239218,A, J, 2006-03-29, 1,4, 105, 24.1
2239218,A, J, 2006-03-29, 1,5, 139, 20.9
2239218,A, J, 2006-03-29, 1,6, 176, 23.2
2239218,A, J, 2006-03-29, 1,1, 2, 25.9
2239218,A, J, 2006-03-29, 1,7, 252, 16.3
2239218,A, J, 2006-03-29, 1,8, 303, 20 
2239218,A, J, 2006-03-29, 1,2, 36, 26.3
2239218,A, J, 2006-03-29, 1,3, 72, 22.7
2239224,A, J, 2006-03-29, 1,8,,
2239224,A, J, 2006-03-29, 1,9,,
2239224,A, J, 2006-03-29, 1,10,,
2239224,A, J, 2006-03-29, 1,3, 105, 34.5
2239224,A, J, 2006-03-29, 1,4, 139, 27.7
2239224,A, J, 2006-03-29, 1,5, 176, 28.1
2239224,A, J, 2006-03-29, 1,6, 252, 19.1
2239224,A, J, 2006-03-29, 1,7, 303, 23.2 
2239224,A, J, 2006-03-29, 1,1, 36, 25.9
2239224,A, J, 2006-03-29, 1,2, 72, 30.9
2239232,A, J, 2006-04-03, 1,8,,
2239232,A, J, 2006-04-03, 1,9,,
2239232,A, J, 2006-04-03, 1,10,,
2239232,A, J, 2006-04-03, 1,3, 100, 20.4
2239232,A, J, 2006-04-03, 1,4, 134, 18.6
2239232,A, J, 2006-04-03, 1,5, 171, 23.6
2239232,A, J, 2006-04-03, 1,6, 247, 16.3
2239232,A, J, 2006-04-03, 1,7, 298, 12.7 
2239232,A, J, 2006-04-03, 1,1, 31, 21.8
2239232,A, J, 2006-04-03, 1,2, 67, 21.8
2239237,A, J, 2006-05-13, 1,8,,
2239237,A, J, 2006-05-13, 1,9,,
2239237,A, J, 2006-05-13, 1,10,,
2239237,A, J, 2006-05-13, 1,4, 131, 23.6
2239237,A, J, 2006-05-13, 1,5, 207, 7.7
2239237,A, J, 2006-05-13, 1,6, 258, 13.6
